2011 super output area - lower layer,mnemonic,All categories: Method of travel to work,Bicycle,On foot,per_Bicycle,per_Walk
Camden 001A,E01000907,1062,77,73,0.072504708,0.06873823
Camden 001B,E01000908,1184,103,76,0.096986817,0.071563089
Camden 001C,E01000909,1253,108,77,0.101694915,0.072504708
Camden 001D,E01000912,1235,81,118,0.076271186,0.111111111
Camden 001E,E01000913,1286,48,61,0.04519774,0.057438795
Camden 002A,E01000893,1194,79,67,0.074387947,0.063088512
Camden 002B,E01000894,1034,26,70,0.024482109,0.065913371
Camden 002C,E01000895,1201,25,105,0.02354049,0.098870056
Camden 002D,E01000896,1255,43,74,0.040489642,0.069679849
Camden 002E,E01000899,1201,28,79,0.026365348,0.074387947
Camden 003A,E01000910,1133,122,94,0.114877589,0.088512241
Camden 003B,E01000911,1133,101,75,0.095103578,0.070621469
Camden 003C,E01000921,1662,136,136,0.128060264,0.128060264
Camden 003D,E01000923,1179,88,68,0.082862524,0.064030132
Camden 003E,E01000928,1264,96,92,0.09039548,0.086629002
Camden 004A,E01000878,1289,19,47,0.017890772,0.044256121
Camden 004B,E01000879,1119,27,70,0.025423729,0.065913371
Camden 004C,E01000880,1104,26,63,0.024482109,0.059322034
Camden 004D,E01000884,1056,26,49,0.024482109,0.04613936
Camden 004E,E01000885,1018,32,50,0.030131827,0.047080979
Camden 005A,E01000871,1267,45,49,0.042372881,0.04613936
Camden 005B,E01000872,1623,87,69,0.081920904,0.064971751
Camden 005C,E01000873,1317,59,44,0.055555556,0.041431262
Camden 005D,E01000874,1245,30,53,0.028248588,0.049905838
Camden 005E,E01000877,1296,34,69,0.032015066,0.064971751
Camden 006A,E01000886,1112,80,81,0.075329567,0.076271186
Camden 006B,E01000887,1190,57,106,0.053672316,0.099811676
Camden 006C,E01000888,1204,111,92,0.104519774,0.086629002
Camden 006D,E01000892,1372,71,111,0.066854991,0.104519774
Camden 006E,E01000903,1148,54,100,0.050847458,0.094161959
Camden 007A,E01000889,1216,46,131,0.043314501,0.123352166
Camden 007B,E01000890,1186,37,123,0.034839925,0.115819209
Camden 007C,E01000891,1138,52,98,0.048964218,0.092278719
Camden 007D,E01000901,1418,60,123,0.056497175,0.115819209
Camden 007E,E01000922,1260,89,115,0.083804143,0.108286252
Camden 007F,E01000927,1419,122,130,0.114877589,0.122410546
Camden 008A,E01000881,1162,18,69,0.016949153,0.064971751
Camden 008B,E01000882,1198,43,68,0.040489642,0.064030132
Camden 008C,E01000883,1065,26,56,0.024482109,0.052730697
Camden 008D,E01000897,1161,42,49,0.039548023,0.04613936
Camden 008E,E01000898,1377,24,341,0.02259887,0.321092279
Camden 009A,E01000866,1606,103,149,0.096986817,0.140301318
Camden 009B,E01000870,1357,102,117,0.096045198,0.110169492
Camden 009C,E01000924,1382,111,103,0.104519774,0.096986817
Camden 009D,E01000925,1084,26,74,0.024482109,0.069679849
Camden 009E,E01000926,1490,124,177,0.116760829,0.166666667
Camden 010A,E01000969,1720,45,70,0.042372881,0.065913371
Camden 010B,E01000970,1331,54,37,0.050847458,0.034839925
Camden 010C,E01000971,1177,38,43,0.035781544,0.040489642
Camden 010D,E01000972,1611,56,89,0.052730697,0.083804143
Camden 010E,E01000973,1613,42,78,0.039548023,0.073446328
Camden 011A,E01000842,1175,34,77,0.032015066,0.072504708
Camden 011B,E01000844,1408,53,90,0.049905838,0.084745763
Camden 011C,E01000848,1273,43,86,0.040489642,0.080979284
Camden 011D,E01000849,1274,46,100,0.043314501,0.094161959
Camden 012A,E01000900,1400,85,135,0.080037665,0.127118644
Camden 012B,E01000902,1026,44,92,0.041431262,0.086629002
Camden 012C,E01000904,1640,78,170,0.073446328,0.16007533
Camden 012D,E01000905,1392,27,118,0.025423729,0.111111111
Camden 012E,E01000906,1246,66,96,0.062146893,0.09039548
Camden 013A,E01000875,1394,41,50,0.038606403,0.047080979
Camden 013B,E01000876,1359,36,67,0.033898305,0.063088512
Camden 013C,E01000931,1494,42,82,0.039548023,0.077212806
Camden 013D,E01000932,1605,46,92,0.043314501,0.086629002
Camden 013E,E01000974,1414,45,74,0.042372881,0.069679849
Camden 014A,E01000843,1299,39,101,0.036723164,0.095103578
Camden 014B,E01000845,1166,47,86,0.044256121,0.080979284
Camden 014C,E01000846,1027,43,74,0.040489642,0.069679849
Camden 014D,E01000847,1171,36,75,0.033898305,0.070621469
Camden 015A,E01000864,1276,109,150,0.102636535,0.141242938
Camden 015B,E01000865,1330,87,87,0.081920904,0.081920904
Camden 015C,E01000867,1225,53,147,0.049905838,0.138418079
Camden 015D,E01000868,1014,59,103,0.055555556,0.096986817
Camden 015E,E01000869,1733,140,154,0.131826742,0.145009416
Camden 016A,E01000962,1330,52,80,0.048964218,0.075329567
Camden 016B,E01000964,1220,38,70,0.035781544,0.065913371
Camden 016C,E01000965,1243,33,57,0.031073446,0.053672316
Camden 016D,E01000966,1237,52,68,0.048964218,0.064030132
Camden 016E,E01000968,1275,51,45,0.048022599,0.042372881
Camden 017A,E01000960,1380,34,65,0.032015066,0.061205273
Camden 017B,E01000961,1123,18,73,0.016949153,0.06873823
Camden 017C,E01000963,1416,17,56,0.016007533,0.052730697
Camden 017D,E01000967,1031,32,72,0.030131827,0.06779661
Camden 018A,E01000857,1122,74,107,0.069679849,0.100753296
Camden 018B,E01000858,1457,49,155,0.04613936,0.145951036
Camden 018C,E01000859,1289,100,140,0.094161959,0.131826742
Camden 018D,E01000860,1039,64,152,0.060263653,0.143126177
Camden 018E,E01000862,1360,113,162,0.106403013,0.152542373
Camden 019A,E01000856,1246,50,119,0.047080979,0.112052731
Camden 019B,E01000861,1339,66,146,0.062146893,0.13747646
Camden 019C,E01000957,1379,62,152,0.058380414,0.143126177
Camden 019D,E01000958,1820,61,192,0.057438795,0.18079096
Camden 019E,E01000959,1252,28,124,0.026365348,0.116760829
Camden 020A,E01000929,1188,22,82,0.020715631,0.077212806
Camden 020B,E01000930,1415,34,71,0.032015066,0.066854991
Camden 020C,E01000933,1414,55,80,0.051789077,0.075329567
Camden 020D,E01000934,1178,23,89,0.02165725,0.083804143
Camden 020E,E01000935,1000,35,82,0.032956685,0.077212806
Camden 021A,E01000863,1290,60,196,0.056497175,0.184557439
Camden 021B,E01000946,1199,32,201,0.030131827,0.189265537
